title,NER
Indian Chicken Curry,"[""butter"", ""onion"", ""garlic"", ""flour"", ""brown sugar"", ""curry powder"", ""salt"", ""ginger"", ""pepper"", ""tomato sauce"", ""water"", ""chicken bouillon cubes"", ""chicken breasts""]"
Cold Chicken Curry,"[""salt"", ""white rice"", ""chicken"", ""cauliflower"", ""mayonnaise"", ""curry powder"", ""milk"", ""bell pepper"", ""red onion"", ""celery""]"
Shrimp Curry,"[""butter"", ""onion"", ""celery"", ""green pepper"", ""flour"", ""curry powder"", ""instant chicken"", ""water"", ""milk"", ""shrimp""]"
Curry Rice,"[""pork chops"", ""onion"", ""carrots"", ""potatoes"", ""green pepper"", ""flour"", ""water"", ""curry powder"", ""rice""]"
India Chicken Curry,"[""onion"", ""celery"", ""butter"", ""flour"", ""chicken stock"", ""tomato juice"", ""Worcestershire sauce"", ""curry"", ""chicken"", ""rice"", ""salt""]"
Shrimp Curry,"[""curry powder"", ""mayonnaise"", ""milk"", ""shrimp"", ""green peppers"", ""pimento"", ""onion""]"
Chicken Curry,"[""chicken"", ""onion"", ""oil"", ""flour"", ""curry powder"", ""chicken broth"", ""tomatoes"", ""green mango"", ""salt""]"
Curry In A Hurry,"[""apple"", ""onion"", ""curry powder"", ""butter"", ""cream of chicken soup"", ""water"", ""chicken"", ""rice"", ""coconut""]"
Chicken Panang Curry,"[""coconut milk"", ""Panang"", ""boneless chicken"", ""seasoning sauce"", ""lemon juice"", ""tomato"", ""yellow bell pepper"", ""scallions"", ""mushrooms"", ""garlic chili pepper sauce""]"
Red Beef Curry(Low Sodium)  ,"[""vegetable oil"", ""onion"", ""garlic"", ""cinnamon"", ""curry powder"", ""paprika"", ""thyme"", ""tomato paste"", ""water""]"
Chicken Curry,"[""chicken pieces"", ""onion"", ""celery"", ""garlic"", ""curry powder"", ""bay leaf"", ""cubed apples"", ""banana"", ""chicken broth"", ""heavy cream""]"
Seafood Curry,"[""butter"", ""tart apples"", ""flour"", ""curry powder"", ""salt"", ""milk"", ""shrimp""]"
Creamy Shrimp Curry,"[""water"", ""salt"", ""shrimp"", ""onion"", ""butter"", ""all-purpose"", ""curry powder"", ""chicken broth"", ""milk"", ""salt"", ""sugar"", ""ground ginger"", ""lemon juice"", ""rice""]"
Chicken Curry,"[""chicken"", ""celery"", ""rice"", ""salt"", ""curry powder"", ""liquid""]"
Shrimp Curry,"[""butter"", ""flour"", ""salt"", ""pepper"", ""onion juice"", ""milk"", ""curry powder"", ""shrimp"", ""flaky rice""]"
Chicken Curry,"[""green pepper"", ""celery"", ""onion"", ""lemon juice"", ""chicken"", ""butter"", ""clove garlic"", ""rice""]"
Fruit Curry,"[""butter"", ""brown sugar"", ""curry powder""]"
Curry Chicken,"[""chicken"", ""curry powder"", ""onion"", ""green pepper"", ""carrots"", ""potatoes"", ""water"", ""Pet milk"", ""salt""]"
Kurma(Quick Chicken Curry From South Africa)  ,"[""fryer chicken"", ""vegetable oil"", ""onion"", ""curry powder"", ""garlic"", ""sugar"", ""salt"", ""cayenne pepper"", ""water""]"
Spicy Shrimp Curry,"[""shrimp"", ""safflower oil"", ""garlic"", ""ginger"", ""onions"", ""red chili peppers"", ""turmeric"", ""fennel seed"", ""ground cardamon"", ""zucchini"", ""tomatoes"", ""coconut milk"", ""salt"", ""scallions"", ""fresh cilantro""]"
Chicken Curry,"[""chicken"", ""onion"", ""garlic"", ""ground turmeric"", ""ground cumin"", ""curry powder"", ""oil"", ""salt"", ""potatoes""]"
Chicken Curry,"[""onion"", ""celery"", ""cooking oil"", ""flour"", ""chicken broth"", ""tomato juice"", ""Worcestershire sauce"", ""curry powder"", ""chicken"", ""hot cooked rice"", ""salt""]"
Nenek'S Curry,"[""onions"", ""garlic"", ""curry powder"", ""curry powder"", ""potatoes"", ""chicken seasoning"", ""coconut cream"", ""lemon""]"
Hot Madras Beef Curry,"[""round steak"", ""butter"", ""onions"", ""tomato paste"", ""green chili peppers"", ""garlic"", ""turmeric"", ""chili powder"", ""ground cumin"", ""curry powder"", ""coriander"", ""bouillon cubes"", ""lemon juice"", ""salt""]"
Tomato Chicken Curry,"[""olive oil"", ""onions"", ""garlic"", ""ground coriander"", ""cumin"", ""ginger"", ""cloves"", ""turmeric"", ""cayenne"", ""yogurt"", ""tomatoes"", ""chicken""]"
Chicken Curry,"[""chicken"", ""onion"", ""tomatoes"", ""apple"", ""orange"", ""green pepper"", ""currants"", ""sugar"", ""brown vinegar"", ""cloves"", ""bay leaves"", ""curry powder""]"
Polynesian Shrimp Curry,"[""milk"", ""flaked coconut"", ""shrimp"", ""pineapple"", ""butter"", ""curry powder"", ""green onions"", ""celery"", ""all-purpose"", ""garlic salt"", ""chicken broth"", ""rice""]"
Mince Curry With Peas(Ground Beef)  ,"[""oil"", ""onions"", ""tomato"", ""green ginger"", ""garlic"", ""cinnamon"", ""cardamon seeds"", ""cloves"", ""marsala"", ""turmeric"", ""ground cumin"", ""ground coriander"", ""potatoes"", ""frozen peas""]"
Curry Chicken,"[""chickens"", ""mushrooms"", ""bay leaf"", ""salt"", ""pepper"", ""rice"", ""garlic"", ""curry powder"", ""cayenne"", ""boiling chicken broth""]"
Indian Chicken Curry,"[""red apples"", ""lemon juice"", ""chicken breasts"", ""celery"", ""onion"", ""green bell peppers"", ""clove garlic"", ""flour"", ""curry powder"", ""salt"", ""ginger"", ""chicken broth"", ""tomatoes"", ""raisins"", ""water"", ""rice""]"
Curry Spiced Rice,"[""onion"", ""butter"", ""rice"", ""allspice"", ""curry powder"", ""turmeric"", ""water"", ""cayenne pepper""]"
Curry And Rice,"[""onion"", ""garlic"", ""meat"", ""potatoes"", ""tomato puree"", ""curry powder"", ""tomatoes""]"
Vegetable Curry,"[""cauliflower"", ""tomatoes"", ""potatoes"", ""shelled peas"", ""green beans"", ""turmeric"", ""curry powder"", ""salt"", ""butter"", ""onions"", ""clove garlic"", ""stock""]"
Corn Curry,"[""margarine"", ""whole kernel corn"", ""green pepper"", ""pimiento"", ""onion"", ""curry powder"", ""sour cream"", ""salt"", ""freshly ground pepper""]"
Chicken Curry,"[""onions"", ""butter"", ""cream of mushroom soup"", ""milk"", ""sour cream"", ""curry powder"", ""chicken"", ""rice"", ""golden raisins"", ""scallions"", ""almonds"", ""chutney""]"
Curry Green Tomatoes,"[""green onions"", ""oleo"", ""curry powder"", ""lemon pepper"", ""garlic powder"", ""green tomatoes""]"
Shrimp Curry,"[""butter"", ""celery"", ""green pepper"", ""condensed cream"", ""parsley salt"", ""frozen shrimp"", ""rice"", ""water"", ""curry powder"", ""salt"", ""pepper"", ""olives""]"
Quick Turkey Curry,"[""onion"", ""butter"", ""condensed cream"", ""milk"", ""sour cream"", ""curry powder"", ""turkey""]"
Chicken Curry,"[""cream of mushroom soup"", ""mayonnaise"", ""lemon juice"", ""curry powder"", ""red pepper"", ""chicken breasts"", ""broccoli"", ""Cheddar cheese""]"
Chicken Curry,"[""butter"", ""onions"", ""flour"", ""salt"", ""chicken"", ""chicken stock"", ""milk"", ""lemon juice"", ""curry powder""]"
Chicken Curry,"[""chicken"", ""curry powder"", ""coconut milk"", ""oil"", ""coconut milk"", ""onion"", ""salt""]"
Curry,"[""long carrots"", ""potatoes"", ""chicken"", ""curry"", ""water"", ""hot sauce""]"
Meat Curry,"[""butter"", ""garlic"", ""apple"", ""dry mustard"", ""chicken broth"", ""milk"", ""chutney"", ""onion"", ""celery"", ""flour"", ""curry powder"", ""bay leaf"", ""meat""]"
Mushroom Curry,"[""mushrooms"", ""potatoes"", ""butter"", ""onions"", ""fresh snipped chives"", ""ginger"", ""salt"", ""ground turmeric"", ""chili powder"", ""tomatoes"", ""lemon juice"", ""curry powder""]"
Lamb Curry And Rice,"[""lamb"", ""green peppers"", ""stalks celery"", ""eggs"", ""peanuts"", ""bacon"", ""coconut"", ""orange peel"", ""oil"", ""raisins"", ""flour"", ""curry"", ""rice"", ""salt"", ""pepper"", ""flour""]"
Chicken Curry,"[""onion"", ""apple"", ""oleo"", ""mushrooms"", ""water chestnuts"", ""flour"", ""curry powder"", ""sugar"", ""ground ginger"", ""salt"", ""chicken broth"", ""milk""]"
Three Bean Curry,"[""butter"", ""garlic"", ""carrot"", ""onion"", ""mushrooms"", ""curry"", ""water"", ""lima beans"", ""green beans"", ""peas"", ""plain yogurt"", ""peanuts""]"
Shrimp With Curry,"[""shrimp"", ""cream of chicken soup"", ""onion"", ""curry powder"", ""cayenne pepper""]"
Indian Shrimp Curry,"[""onion"", ""butter"", ""flour"", ""curry powder"", ""salt"", ""sugar"", ""powdered ginger"", ""chicken"", ""boiling water"", ""milk"", ""shrimp"", ""lemon juice"", ""white rice""]"
Curry Rice,"[""chicken"", ""baby carrots"", ""potatoes"", ""onion"", ""garlic powder"", ""curry powder"", ""salt""]"
Wetha See Byan (Dry Pork Curry)(Origin: Burmese)  ,"[""onion"", ""garlic"", ""ginger"", ""chili powder"", ""ground turmeric"", ""light sesame oil"", ""lemon grass"", ""tamarind liquid"", ""fish sauce""]"
Chicken Curry,"[""chicken"", ""butter"", ""onions"", ""curry powder"", ""salt"", ""sherry wine"", ""rice""]"
Shrimp Hurry Curry,"[""onion"", ""curry powder"", ""butter"", ""shrimp soup"", ""sour cream"", ""shrimp"", ""rice"", ""paprika""]"
Chicken Curry,"[""sour cream"", ""curry powder"", ""salt"", ""coriander"", ""ginger"", ""garlic"", ""ground pepper"", ""lemon juice"", ""chicken"", ""shortening"", ""bay leaves"", ""onion"", ""tomato"", ""mushrooms""]"
Vegetable Fish Curry(Serves 4 To 6)  ,"[""water"", ""white wine"", ""frozen fish"", ""corn oil"", ""tomatoes"", ""zucchini"", ""onion"", ""clove garlic"", ""cornstarch"", ""curry powder"", ""white pepper"", ""rice""]"
Chicken Curry,"[""bacon"", ""celery"", ""onion"", ""garlic salt"", ""flour"", ""milk"", ""chicken broth"", ""applesauce"", ""ketchup"", ""curry powder"", ""chicken breasts"", ""rice""]"
Ground Lamb Curry,"[""ground lamb"", ""flour"", ""onion"", ""curry powder"", ""salt"", ""pepper"", ""water"", ""raisins"", ""lemon"", ""cloves""]"
Shrimp Curry (Indian Style),"[""Shrimp"", ""Onion"", ""Garlic"", ""Ground Ginger"", ""Sour Cream"", ""Sugar"", ""Coconut"", ""Milk"", ""Cinnamon"", ""Green Cardamom"", ""Bay leaves"", ""Butter"", ""Salt according""]"
Sri Lankan Chicken Curry,"[""chicken"", ""flour"", ""butter"", ""onion"", ""green onions"", ""garlic"", ""lemon juice"", ""curry powder"", ""red pepper"", ""ground ginger"", ""coconut milk"", ""salt"", ""pepper"", ""chicken broth""]"
Chicken Curry,"[""butter"", ""chicken"", ""cream of chicken soup"", ""mayonnaise"", ""curry powder"", ""crackers"", ""cheddar cheese""]"
Sandy'S Chicken Curry,"[""chicken"", ""chicken"", ""ginger"", ""salt"", ""olive oil"", ""onions"", ""garlic"", ""peanut butter"", ""curry powder"", ""milk"", ""flour"", ""lemon juice"", ""ground cardamon"", ""ground cloves"", ""cinnamon""]"
Chicken Curry,"[""chicken"", ""eggs"", ""celery"", ""raisins"", ""cream of chicken soup"", ""mayonnaise"", ""lemon juice"", ""curry powder"", ""pepper"", ""flaked coconut"", ""walnuts""]"
Honey Curry Chicken,"[""margarine"", ""Dijon mustard"", ""honey"", ""curry powder"", ""chicken""]"
Easy Curry(Lamb Or Turkey)  ,"[""onion"", ""margarine"", ""curry powder"", ""ginger"", ""condensed cream"", ""turkey"", ""salt"", ""lemon juice"", ""apple"", ""green pepper""]"
Shirley'S Shrimp Curry,"[""shrimp"", ""butter"", ""clove garlic"", ""lemon juice"", ""cream of shrimp soup"", ""cream of mushroom soup"", ""sour cream"", ""curry powder"", ""salt"", ""garlic salt""]"
Fish Curry,"[""catfish filet"", ""tomato"", ""onion"", ""garlic"", ""olive oil"", ""sour cream"", ""tomato sauce"", ""salt"", ""curry powder"", ""black pepper""]"
Sole Curry,"[""butter"", ""shallots"", ""curry powder"", ""sole fillets"", ""canned green peppercorns"", ""lemon juice"", ""cream""]"
Chicken Curry,"[""stewing chicken"", ""white rice"", ""butter"", ""curry powder"", ""salt"", ""allspice"", ""ginger"", ""mace"", ""flour"", ""chicken broth"", ""heavy cream"", ""applesauce""]"
"Burmese Red Curry(A Simple Yet Popular Burmese Dish, Known As See-Piyan)  ","[""chicken"", ""onions"", ""garlic"", ""salt"", ""cayenne pepper"", ""turmeric"", ""monosodium glutamate"", ""tomato paste"", ""lemon juice"", ""cooking oil"", ""water""]"
Dahi Murgh - Chicken And Yogurt Curry(Origin: India And Pakistan)  ,"[""chicken"", ""onion"", ""garlic"", ""fresh ginger"", ""fresh coriander"", ""ghee"", ""ground turmeric"", ""garam masala"", ""salt"", ""chili powder"", ""yogurt"", ""tomatoes"", ""mint""]"
Mix Vegetable Curry,"[""onions"", ""tomatoes"", ""cumin"", ""coconut"", ""cilantro"", ""oil"", ""frozen mix vegetable"", ""poppy seeds"", ""garlic"", ""salt"", ""whipping cream"", ""red chili powder""]"
Chicken Curry,"[""chicken"", ""onions"", ""sweet coconut"", ""milk"", ""coconut milk"", ""onions"", ""clove garlic"", ""butter"", ""curry powder"", ""ground ginger"", ""flour"", ""cayenne pepper"", ""chicken stock"", ""salt""]"
Curry'S Special,"[""elbow macaroni"", ""regular Manwich"", ""hamburger"", ""whole kernel corn"", ""pork""]"
India Curry,"[""ground beef"", ""onions"", ""curry powder"", ""chili powder"", ""tomatoes"", ""string beans"", ""potatoes"", ""rice"", ""Fritos""]"
Rowena'S Curry Chicken,"[""flour"", ""salad oil"", ""garlic"", ""onions"", ""blanched almonds"", ""rice"", ""green pepper"", ""salt"", ""curry powder"", ""tomatoes"", ""raisins"", ""butter"", ""parsley"", ""celery""]"
Curry Of Lamb,"[""lamb shoulder"", ""fat"", ""onion"", ""curry powder"", ""flour"", ""bouillon cubes"", ""boiling water"", ""catsup"", ""salt"", ""apples"", ""celery""]"
Bombay Curry,"[""onion"", ""celery"", ""fat"", ""pork roast"", ""salt"", ""curry powder"", ""Worcestershire"", ""leftover gravy""]"
Mild Chicken Curry,"[""chicken"", ""curry powder"", ""chicken broth"", ""onion"", ""tomatoes"", ""garlic"", ""salt"", ""pepper""]"
No-Fuss Curry Chicken,"[""roasting chicken"", ""Spanish onion"", ""apple"", ""tomatoes"", ""salt"", ""curry powder"", ""paprika""]"
Lamb Curry,"[""ground lamb"", ""celery"", ""onion"", ""clove garlic"", ""flour"", ""curry powder"", ""instant chicken"", ""pepper"", ""apple"", ""water"", ""milk"", ""raisins"", ""salt""]"
Chicken Curry Bombay,"[""onion"", ""garlic"", ""curry powder"", ""olive oil"", ""green beans"", ""tomatoes"", ""raisins"", ""whole new potatoes"", ""chicken breasts""]"
Curry Chicken On Rice,"[""boned chicken"", ""butter"", ""boiling water"", ""apples"", ""curry powder"", ""peanuts""]"
Shrimp Curry,"[""onions"", ""bacon"", ""green bell peppers"", ""curry powder"", ""lemon juice"", ""chicken broth"", ""potato"", ""shrimp"", ""lemon juice""]"
Chicken Curry,"[""frozen peas"", ""chicken breasts"", ""cream of chicken soup"", ""mayonnaise"", ""mushrooms"", ""curry powder"", ""Cheddar cheese"", ""croutons""]"
Carp Curry With Coriander And Tomato,"[""oil"", ""onions"", ""salt"", ""cumin"", ""chili powder"", ""turmeric"", ""garlic"", ""ginger"", ""tomato paste"", ""carp"", ""tomato"", ""water"", ""fresh coriander leaves"", ""lime juice""]"
Chicken Curry,"[""chicken breasts"", ""margarine"", ""flour"", ""cayenne pepper"", ""onions"", ""garlic"", ""fresh ginger"", ""cumin"", ""coriander"", ""plain yogurt"", ""heavy cream""]"
Chicken Curry,"[""chicken"", ""broccoli"", ""cream of mushroom soup"", ""cream of chicken soup"", ""mayonnaise"", ""curry powder"", ""lemon juice"", ""bread crumbs"", ""Cheddar cheese""]"
Weight Watchers Chicken-Rice Curry,"[""chicken"", ""rice"", ""celery"", ""green pepper"", ""onion"", ""mayonnaise"", ""salt"", ""curry powder"", ""vinegar"", ""pimento"", ""pineapple""]"
Chicken Curry,"[""chicken breasts"", ""onion"", ""flour"", ""curry powder"", ""chicken broth"", ""milk"", ""salt"", ""sugar"", ""ground ginger"", ""lemon juice"", ""mushroom stems"", ""rice""]"
Pork Curry Over Cauliflower Couscous(Makes 6 Servings; Carb Count: 2 Grams)  ,"[""olive oil"", ""curry powder"", ""garlic"", ""pork"", ""red"", ""cider vinegar"", ""salt"", ""water"", ""head cauliflower""]"
Chicken Curry,"[""chicken"", ""garlic"", ""ginger"", ""cumin"", ""natural yogurt"", ""oil"", ""turmeric"", ""chili powder"", ""pepper"", ""onions"", ""salt""]"
Creamy Curry Pork Chops,"[""water"", ""Ricotta cheese"", ""flour"", ""chutney"", ""curry powder"", ""salt"", ""pork chops"", ""olive oil"", ""golden raisins""]"
Chicken Curry,"[""chicken"", ""butter"", ""onion"", ""Accent"", ""salt"", ""ketchup"", ""boiling water"", ""cornstarch"", ""curry powder"", ""cold water""]"
Iranian Beef Curry,"[""lean round steak"", ""shortening"", ""onion"", ""applesauce"", ""flour"", ""curry"", ""salt"", ""pepper"", ""nutmeg"", ""beef broth"", ""tomato sauce"", ""raisins"", ""brown sugar""]"
Shrimp Curry With Coconut Milk,"[""butter"", ""onion"", ""cardamom"", ""cinnamon"", ""cloves"", ""salt"", ""black peppercorns"", ""turmeric"", ""chili powder"", ""ginger"", ""garlic"", ""shrimp"", ""coconut milk""]"
Hurry Curry,"[""onion"", ""curry powder"", ""margarine"", ""condensed cream"", ""mayonnaise"", ""milk"", ""lemon juice"", ""chicken"", ""chicken""]"
Chicken Curry,"[""butter"", ""onions"", ""turmeric"", ""tomatoes"", ""chicken breasts""]"
Grilled Curry Fruit,"[""pear halves"", ""peach halves"", ""pineapple"", ""brown sugar"", ""butter"", ""curry powder""]"
Grandma'S Chicken Curry,"[""chicken"", ""peppercorns"", ""cloves"", ""garlic"", ""curry powder"", ""flour"", ""potatoes""]"
Chicken Curry,"[""onion"", ""celery"", ""white rice"", ""chicken meat"", ""milk"", ""cream of mushroom soup"", ""cream of chicken soup"", ""water"", ""curry powder""]"
Chicken Curry,"[""chicken"", ""salt"", ""black pepper"", ""oil"", ""onions"", ""cinnamon"", ""cardamom pods"", ""cloves"", ""turmeric"", ""chili powder"", ""ground coriander"", ""ginger"", ""garlic"", ""cumin"", ""bay leaves"", ""ketchup"", ""water""]"
African Curry,"[""margarine"", ""flour"", ""salt"", ""sugar"", ""onion salt"", ""curry powder"", ""ginger"", ""milk"", ""chicken stock"", ""condensed cream"", ""chicken""]"
Quick Shrimp Curry,"[""condensed cream"", ""sour cream"", ""curry powder"", ""onion"", ""freshly cooked white rice"", ""pepper"", ""shrimp"", ""raisins""]"
Beef Curry Delicious,"[""flour"", ""salt"", ""pepper"", ""beef"", ""onions"", ""garlic"", ""curry powder"", ""tomato juice"", ""salad oil""]"
Indian Saggost(Beef And Spinach Curry)  ,"[""butter"", ""oil"", ""onions"", ""clove garlic"", ""ginger root"", ""ground turmeric"", ""chili powder"", ""ground coriander"", ""ground mustard seed"", ""stewing steak"", ""frozen spinach"", ""unflavored yogurt""]"
Garbanzo Curry,"[""olive oil"", ""yellow onion"", ""stalks celery"", ""bell pepper"", ""garlic"", ""potatoes"", ""vegetable bouillon cubes"", ""water"", ""tomato paste"", ""curry powder"", ""ground red pepper"", ""rice"", ""green onions""]"
Lamb Curry,"[""lean lamb"", ""onions"", ""garlic"", ""white grapes"", ""salt"", ""butter"", ""curry powder"", ""green apple"", ""tomatoes"", ""rice"", ""chutney""]"
Shrimp Curry,"[""condensed shrimp soup"", ""parsley flakes"", ""curry powder"", ""onions"", ""shrimp""]"
Keema Curry (Ground Beef Curry)(Indian Food)  ,"[""onion"", ""tomato"", ""garlic"", ""peppercorns"", ""cloves"", ""curry powder"", ""salt"", ""lean ground beef""]"
Chicken Curry,"[""chicken"", ""thin sliced mushrooms"", ""oil"", ""onion"", ""flour"", ""chicken broth"", ""curry powder"", ""apple"", ""parsley"", ""milk"", ""water""]"
Jamaican Curry Chicken,"[""chicken"", ""curry"", ""thyme"", ""onions"", ""garlic"", ""allspice"", ""potatoes"", ""vegetable oil"", ""salt""]"
Pineapple Chicken Curry,"[""chicken breasts"", ""salt"", ""onion"", ""margarine"", ""green pepper"", ""cashews"", ""curry"", ""nutmeg"", ""pineapple"", ""water"", ""chicken"", ""cornstarch""]"
Chicken Curry,"[""onion"", ""water"", ""mayonnaise"", ""salt"", ""pineapple"", ""almonds"", ""white raisins"", ""butter"", ""curry powder"", ""lemon juice"", ""chicken"", ""cayenne"", ""apples""]"
Seafood Curry With Beer,"[""butter"", ""clove garlic"", ""scallions"", ""apple"", ""celery"", ""curry powder"", ""ground ginger"", ""flour"", ""frozen crab"", ""shrimp"", ""salt"", ""beer"", ""liquid from crab plus enough"", ""lean ground beef"", ""tomato sauce"", ""egg"", ""bread crumbs"", ""salt"", ""frozen mixed vegetables"", ""thyme"", ""ground pepper"", ""frozen hash brown potatoes"", ""buttery flavored oil"", ""cheese""]"
Chicken Curry,"[""chicken"", ""onion"", ""curry powder"", ""ginger"", ""flour"", ""salt"", ""shortening"", ""lemon juice""]"
Curry Chicken,"[""cream of chicken soup"", ""curry powder"", ""onion"", ""milk"", ""chicken""]"
Chicken Curry,"[""onion"", ""butter"", ""curry powder"", ""green pepper"", ""garlic"", ""flour"", ""chicken broth"", ""milk"", ""chicken""]"
Curry-Cajun Spiced Chicken,"[""honey"", ""water"", ""mustard"", ""margarine"", ""Cajun seasoning"", ""curry powder"", ""lemon juice"", ""clove garlic"", ""skinless"", ""rice""]"
Shrimp Curry Or Creole,"[""bell pepper"", ""onions"", ""pimentos"", ""garlic"", ""tomatoes"", ""salt"", ""black pepper"", ""red pepper"", ""thyme"", ""bay leaf"", ""lemon juice"", ""shrimp""]"
Wendy'S Chicken Curry,"[""onion"", ""oil"", ""curry powder"", ""ground red pepper"", ""tomato sauce"", ""chicken"", ""vinegar""]"
Chicken Curry,"[""chicken"", ""tomatoes"", ""onions"", ""butter"", ""tomato paste"", ""salt"", ""cayenne pepper"", ""green chilies"", ""turmeric"", ""ground ginger"", ""garlic"", ""lemon juice""]"
Chicken Curry,"[""bacon"", ""celery stalks"", ""onion"", ""clove garlic"", ""flour"", ""milk"", ""water"", ""applesauce"", ""ketchup"", ""curry powder"", ""chicken broth"", ""chicken"", ""rice""]"
Jinga Curry(Shrimp Or Prawn Curry)  ,"[""prawns"", ""oil"", ""tomato"", ""yogurt"", ""green chilies"", ""onion"", ""turmeric"", ""grated coconut"", ""garlic"", ""salt"", ""cayenne pepper"", ""cumin powder"", ""curry""]"
Beef Curry,"[""round"", ""shortening"", ""onion"", ""garlic"", ""curry powder"", ""boiling water"", ""tomato juice""]"
Hurry Tuna Curry,"[""tuna"", ""green pepper"", ""onion"", ""clove garlic"", ""sour cream"", ""curry powder"", ""salt"", ""pepper"", ""butter""]"
Chicken Curry,"[""oil"", ""oleo"", ""onions"", ""green pepper"", ""garlic"", ""handful of celery leaves"", ""chili peppers"", ""cumin"", ""curry powder"", ""ginger"", ""cayenne"", ""thyme"", ""oregano"", ""tomato sauce""]"
The Willows' Shrimp Curry,"[""garlic"", ""ginger root"", ""onion"", ""margarine"", ""salt"", ""sugar"", ""curry powder"", ""flour"", ""coconut milk"", ""shrimp"", ""condiments""]"
San Clemente Curry,"[""shrimp"", ""butter"", ""curry powder"", ""salt"", ""tomato"", ""onion"", ""lemon juice"", ""sour cream"", ""avocados""]"
Rice Curry,"[""water"", ""margarine"", ""rice"", ""bacon"", ""onion"", ""hamburger"", ""curry powder"", ""tomato sauce""]"
Chicken Curry,"[""green onion"", ""green pepper"", ""celery"", ""oil"", ""flour"", ""chicken broth"", ""thyme"", ""parsley"", ""tomato juice"", ""Worcestershire sauce"", ""curry powder"", ""salt"", ""clove garlic"", ""chicken""]"
Shrimp Curry,"[""onions"", ""butter"", ""salt"", ""curry powder"", ""garlic"", ""shrimp"", ""mushroom soup"", ""raisins"", ""sour cream""]"
Chicken And Broccoli Curry(Serves 6 To 8)  ,"[""chicken"", ""broccoli"", ""cream of chicken"", ""mayonnaise"", ""curry powder"", ""lemon"", ""white wine"", ""Cheddar cheese""]"
Cilantro Pesto-Curry Shrimp With Garlic Beurre Blanc,"[""cilantro"", ""Italian parsley"", ""pine nuts"", ""olive oil"", ""salt""]"
Chicken Curry Surprises,"[""chicken"", ""apple"", ""green onion"", ""peanuts"", ""mayonnaise"", ""curry powder"", ""hot sauce"", ""coconut""]"
Curry Chicken,"[""chicken"", ""carrots"", ""potatoes"", ""onion"", ""curry powder"", ""garlic"", ""salt"", ""cornstarch""]"
Mixed Vegetable Curry,"[""broccoli"", ""potato"", ""carrots"", ""sour cream"", ""milk"", ""flour"", ""turmeric"", ""cumin powder"", ""coriander powder"", ""garlic"", ""salt"", ""oil""]"
Curry And Rice,"[""ground beef"", ""onion"", ""tomatoes"", ""curry powder"", ""cayenne pepper"", ""garlic"", ""salt""]"
Chicken Curry,"[""broilers"", ""butter"", ""curry powder"", ""salt"", ""mustard"", ""honey""]"
Shrimp Curry,"[""butter"", ""onion"", ""garlic powder"", ""mushroom soup"", ""curry powder"", ""white raisins"", ""lemon juice"", ""shrimp"", ""hot rice""]"
